iter	F1	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
375	0.7734898184	0.403313177	0.8138001218	0.8362893251
376	0.7736389685	0.4032283009	0.8138882656	0.8363108362
377	0.7739005876	0.4031747932	0.8140725664	0.8364291476
378	0.7737967602	0.4031279191	0.814032501	0.8364721699
379	0.7739835497	0.4030786371	0.8141607103	0.836547459
380	0.7742975879	0.402868414	0.814389083	0.8367087927
381	0.7742529587	0.4027933522	0.8143650438	0.8367087927
382	0.7743280906	0.4026976049	0.8144331549	0.8367840817
383	0.7740215691	0.4025908368	0.8142127953	0.8366335036
384	0.7741555132	0.4025413442	0.814284913	0.8366335036
385	0.774132572	0.4024740633	0.8142488541	0.8365689702
386	0.7742296919	0.4023856705	0.8143169653	0.8366119925
387	0.7743117121	0.402334397	0.8143690503	0.8366335036
388	0.7743569758	0.4023021159	0.8144171288	0.8366980371
389	0.7748358564	0.4021593754	0.8147857303	0.8369991933
390	0.7747837269	0.4021087052	0.814753678	0.8369884378
391	0.7748135664	0.4020020509	0.8147737107	0.8369991933
392	0.774798118	0.4019839057	0.8147456649	0.8369454154
393	0.7749034354	0.4018553255	0.8148458284	0.8370637268
394	0.7748811472	0.4018311427	0.8148338088	0.8370637268
395	0.7752096543	0.4015652256	0.815066188	0.8372143049
396	0.775254579	0.401535565	0.8151022469	0.8372465717
397	0.7752760844	0.4014990878	0.8150902273	0.8371820382
398	0.7753146063	0.4013914237	0.8151543319	0.8373003496
399	0.7752844008	0.4013141132	0.8151222796	0.8372573272
400	0.7754863529	0.401177612	0.8152785346	0.8373863942
401	0.7755988527	0.4011257186	0.8153746915	0.8374831944
402	0.7754422193	0.4010241737	0.815266515	0.8374186609
403	0.7754278979	0.4010095319	0.815274528	0.8374616832
404	0.7753300961	0.4009068499	0.8151823776	0.8373541275
405	0.7753821878	0.4008292664	0.8152144299	0.837364883
406	0.7755106017	0.4007815502	0.8153506523	0.8375477279
407	0.7753992458	0.4007107278	0.8152905542	0.8375477279
408	0.7756012725	0.4006788721	0.8154468092	0.8376767948
409	0.7757054414	0.4006171567	0.8155109138	0.837698306
410	0.775847792	0.4005208213	0.8156271034	0.8378058618
411	0.7758179772	0.4004516687	0.8156070707	0.8377951062
412	0.7758624889	0.4004052022	0.81563111	0.8377951062
413	0.7758100025	0.4003585972	0.815587038	0.8377520839
414	0.7758406524	0.4002818105	0.81563111	0.8378273729
415	0.7758406524	0.4002194669	0.81563111	0.8378273729
416	0.7762001023	0.4000816373	0.8159195808	0.8380855069
417	0.7761858598	0.4000589364	0.8159275938	0.8381285292
418	0.7760959902	0.3999221448	0.8158554761	0.8380639957
